employee_id,system 32,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,FT/PT
39973,Operations,region_13,Bachelor's,m,other,1,34,5,5,1,0,66,FT
42524,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,26,4,5,0,0,45,FT
7935,Technology,region_2,Bachelor's,f,other,1,52,5,18,0,0,80,FT
49940,Sales & Marketing,region_7,Bachelor's,m,other,1,26,5,2,1,0,54,FT
10059,Analytics,region_34,Bachelor's,m,sourcing,3,27,3,2,0,0,83,FT
44159,Analytics,region_22,Master's & above,m,other,1,31,,1,1,0,84,FT
76691,Operations,region_23,Bachelor's,m,other,1,33,4,8,1,0,59,FT
3720,Sales & Marketing,region_2,,m,sourcing,1,36,5,4,1,0,49,FT
5621,Technology,region_2,Master's & above,f,other,1,57,1,26,0,0,76,FT
24147,Sales & Marketing,region_2,Bachelor's,m,other,2,46,1,7,0,0,49,FT
33997,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,30,2,3,0,0,50,FT
64076,Operations,region_2,Below Secondary,m,other,1,21,,1,1,0,56,FT
21379,Technology,region_4,Bachelor's,m,sourcing,1,26,,1,1,0,85,FT
23714,Technology,region_7,Master's & above,m,sourcing,2,40,3,6,0,0,81,FT
19866,Technology,region_23,Bachelor's,m,other,2,32,3,6,0,0,79,FT
4529,Finance,region_22,Master's & above,f,sourcing,1,36,3,2,1,0,61,FT
64703,Legal,region_2,Bachelor's,m,other,1,28,2,2,0,0,62,FT
19649,Operations,region_22,Bachelor's,f,sourcing,1,29,5,4,1,0,56,FT
6596,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4,4,0,0,49,FT
7999,Technology,region_4,Bachelor's,m,other,1,31,2,4,1,0,78,FT
4762,Sales & Marketing,region_22,Bachelor's,m,other,1,29,1,4,0,0,46,FT
5387,Technology,region_5,Below Secondary,m,other,1,23,,1,0,0,81,FT
24620,Operations,region_26,Bachelor's,m,sourcing,1,41,4,6,1,0,60,FT
57989,Procurement,region_2,Bachelor's,m,other,1,29,5,2,1,0,74,FT
75619,Sales & Marketing,region_28,Bachelor's,f,other,1,29,2,5,0,0,51,FT
26977,Operations,region_2,,m,sourcing,1,28,3,3,0,0,59,FT
65975,Analytics,region_29,Bachelor's,m,other,2,28,5,4,1,0,84,FT
51302,Procurement,region_22,Bachelor's,f,sourcing,1,31,1,6,0,0,64,FT
63714,Technology,region_4,Master's & above,m,sourcing,1,36,3,4,0,0,76,FT
70556,Operations,region_2,Bachelor's,m,other,3,26,3,4,1,0,57,FT
70117,Technology,region_15,Bachelor's,m,other,1,29,3,2,0,0,84,FT
51972,Analytics,region_7,Bachelor's,m,sourcing,1,32,4,6,0,0,85,FT
60572,Sales & Marketing,region_2,Bachelor's,f,other,1,40,1,10,0,0,50,FT
9548,Analytics,region_22,Bachelor's,m,sourcing,2,38,4,13,0,0,87,FT
64,Analytics,region_4,Bachelor's,m,other,1,42,5,11,1,0,80,FT
35510,Procurement,region_29,Master's & above,f,other,1,33,3,6,0,0,68,FT
10732,Analytics,region_2,Bachelor's,m,other,1,31,5,5,1,0,92,FT
9214,Operations,region_3,Master's & above,f,sourcing,1,35,3,4,0,0,58,FT
10761,HR,region_2,Master's & above,f,sourcing,1,58,5,6,1,0,51,PT
32110,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,26,2,4,0,0,48,PT
50038,HR,region_29,Bachelor's,f,sourcing,1,33,3,8,1,0,49,PT
1555,Technology,region_7,Bachelor's,m,sourcing,1,30,3,3,1,0,80,PT
21200,Technology,region_13,Master's & above,f,sourcing,1,43,3,12,0,0,79,PT
50380,HR,region_17,Bachelor's,f,sourcing,1,31,4,7,0,0,48,PT
45009,Analytics,region_29,Bachelor's,m,sourcing,1,32,3,5,1,0,86,PT
65450,Technology,region_2,Master's & above,f,sourcing,2,57,2,7,0,0,83,PT
77333,Operations,region_2,Bachelor's,f,other,1,54,4,22,0,0,57,PT
2347,Analytics,region_15,,m,other,2,37,5,8,1,0,82,PT
8443,R&D,region_22,Master's & above,m,other,2,27,4,5,0,0,86,PT
39490,Operations,region_22,Master's & above,m,sourcing,1,44,3,10,0,0,55,PT
69077,Technology,region_24,Master's & above,f,other,1,37,3,10,0,0,81,PT
64652,Procurement,region_7,Master's & above,m,other,1,48,4,8,0,0,72,PT
5254,Sales & Marketing,region_25,Bachelor's,f,other,1,31,3,6,1,0,43,PT
71131,Finance,region_22,Bachelor's,f,other,1,28,5,5,1,0,60,PT
19620,Procurement,region_13,Master's & above,f,other,1,34,3,4,0,0,69,PT
41266,Sales & Marketing,region_14,Bachelor's,f,sourcing,1,44,1,4,0,0,47,PT
11001,Sales & Marketing,region_12,Bachelor's,m,sourcing,1,27,5,2,0,0,50,PT
28530,Operations,region_22,Master's & above,m,referred,1,45,3,4,1,0,57,PT
72481,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,24,4,2,0,0,48,PT
67417,Analytics,region_29,Bachelor's,m,other,1,37,5,4,0,0,82,PT
51840,Analytics,region_22,Master's & above,m,other,1,27,,1,1,0,86,PT
43223,Legal,region_22,Bachelor's,m,other,1,33,,1,1,0,59,PT
40287,Sales & Marketing,region_2,Master's & above,f,other,1,31,1,2,1,0,53,PT
29367,Sales & Marketing,region_7,Master's & above,m,sourcing,3,38,3,5,0,0,49,PT
36352,Procurement,region_22,Bachelor's,m,other,1,32,5,2,1,0,72,PT
29681,Analytics,region_19,Bachelor's,m,other,1,29,3,4,0,0,84,PT
30233,Sales & Marketing,region_15,Bachelor's,m,other,1,37,4,9,0,0,50,PT
66601,Operations,region_13,Bachelor's,m,other,2,42,3,12,0,0,60,PT
40276,R&D,region_22,Master's & above,m,sourcing,2,32,5,5,1,0,88,PT
1522,Operations,region_13,Bachelor's,m,other,1,45,3,3,0,0,60,PT
17936,Analytics,region_29,Bachelor's,m,other,1,28,3,7,0,0,83,PT
26270,Technology,region_15,Master's & above,m,sourcing,1,35,1,9,0,0,81,PT
6837,Sales & Marketing,region_4,Bachelor's,m,other,3,28,3,5,0,0,48,PT
49665,Operations,region_8,Bachelor's,f,other,1,37,1,3,1,0,59,PT
1908,Analytics,region_4,Master's & above,m,other,1,38,4,7,1,0,88,PT
6474,Procurement,region_2,Bachelor's,f,sourcing,1,31,1,6,0,0,68,PT
27495,Operations,region_2,Master's & above,m,other,2,43,3,2,0,0,69,PT
24324,Operations,region_23,Bachelor's,m,other,1,32,3,2,1,0,62,PT
14299,Procurement,region_2,Below Secondary,m,sourcing,1,24,4,2,1,0,69,PT
56246,Operations,region_2,Master's & above,m,other,1,52,5,8,0,0,59,PT
3901,Technology,region_13,Master's & above,m,other,1,38,5,2,0,0,88,PT
41566,Finance,region_20,Bachelor's,m,other,1,35,3,4,0,0,59,PT
55735,Technology,region_31,Master's & above,m,other,1,39,5,4,0,1,81,PT
53627,Procurement,region_7,Bachelor's,m,other,1,31,3,5,1,0,65,FT
62683,Operations,region_27,Bachelor's,m,sourcing,1,37,3,5,0,0,57,FT
42719,Analytics,region_21,,m,sourcing,1,27,,1,0,0,80,FT
44948,Operations,region_30,Master's & above,f,other,1,37,5,9,1,0,56,FT
26037,Analytics,region_16,Bachelor's,m,other,2,31,3,5,1,0,81,FT
30607,Analytics,region_22,Bachelor's,m,sourcing,1,28,5,4,1,0,85,FT
46103,Technology,region_15,Bachelor's,m,other,1,26,3,3,0,0,77,FT
6452,Finance,region_2,Master's & above,m,other,1,49,4,7,1,0,62,FT
47286,Procurement,region_13,Bachelor's,f,other,1,34,3,9,0,0,68,FT
44117,Finance,region_4,Master's & above,f,other,1,38,3,2,0,0,58,FT
1367,Sales & Marketing,region_13,Master's & above,m,other,1,52,4,4,1,0,51,FT
26228,Sales & Marketing,region_22,Bachelor's,m,sourcing,3,31,1,7,1,0,50,FT
65694,Technology,region_2,Bachelor's,f,other,1,24,1,2,0,0,82,FT
2721,Analytics,region_22,,f,sourcing,2,26,5,3,1,0,86,FT
63901,HR,region_7,Bachelor's,m,other,1,31,2,5,0,0,66,FT
4701,Technology,region_26,Bachelor's,f,other,1,43,1,4,1,0,86,FT
35341,Procurement,region_4,Master's & above,m,other,4,37,3,6,0,0,68,FT
3203,Sales & Marketing,region_2,,m,sourcing,1,37,4,4,0,0,50,FT
10361,HR,region_2,Master's & above,m,other,1,37,5,9,1,0,53,FT
6572,Operations,region_29,Bachelor's,m,other,1,32,5,8,1,0,58,FT
70408,Sales & Marketing,region_26,Bachelor's,f,other,1,30,4,2,0,0,53,FT
11774,Procurement,region_20,Bachelor's,f,other,1,30,5,4,1,0,71,FT
37873,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,27,4,3,0,0,50,FT
3886,Sales & Marketing,region_2,Bachelor's,m,other,2,36,4,8,0,0,45,FT
23347,Technology,region_9,Bachelor's,m,sourcing,4,30,3,2,0,0,78,FT
3034,Procurement,region_2,Master's & above,m,sourcing,1,49,4,19,0,0,73,FT
30137,Sales & Marketing,region_10,Master's & above,m,other,1,38,5,5,0,0,63,FT
52431,Sales & Marketing,region_30,Bachelor's,m,other,1,29,3,6,0,0,51,FT
11061,Technology,region_33,Bachelor's,m,other,1,48,3,6,1,0,81,FT
9706,Sales & Marketing,region_21,Bachelor's,m,other,1,29,,1,0,0,53,FT
17607,Analytics,region_2,Master's & above,m,other,1,59,4,13,0,0,82,FT
64986,Operations,region_7,Bachelor's,f,other,1,36,5,5,1,0,62,FT
8082,Finance,region_13,Bachelor's,m,other,1,28,3,3,0,0,59,FT
20982,Procurement,region_22,Bachelor's,m,other,2,27,4,2,1,0,68,FT
5794,Operations,region_2,Bachelor's,m,sourcing,1,25,3,2,0,0,62,FT
69381,Sales & Marketing,region_26,Bachelor's,m,other,1,30,5,6,1,0,52,FT
50176,HR,region_27,Below Secondary,m,other,1,23,,1,0,0,51,FT
1612,HR,region_15,Bachelor's,f,sourcing,1,28,,1,0,0,50,FT
48923,Sales & Marketing,region_2,Bachelor's,m,other,1,38,4,5,1,0,48,FT
50366,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,,1,1,0,45,FT
48813,HR,region_2,Bachelor's,f,other,1,53,4,21,0,0,53,FT
5574,Sales & Marketing,region_8,Master's & above,m,other,1,35,3,8,0,0,45,FT
57601,HR,region_2,Bachelor's,m,other,1,45,3,14,1,0,53,FT
26788,Sales & Marketing,region_26,,m,sourcing,1,40,1,8,0,0,51,FT
564,Operations,region_32,Bachelor's,m,other,1,39,3,8,0,0,58,FT
3864,Analytics,region_13,Bachelor's,m,other,1,46,4,6,0,0,82,FT
19598,Technology,region_5,Bachelor's,m,sourcing,2,29,3,3,0,0,79,FT
19513,Analytics,region_6,Bachelor's,m,other,1,28,,1,1,0,84,FT
74965,Technology,region_15,Bachelor's,f,other,1,34,4,6,1,0,82,FT
42353,Sales & Marketing,region_9,Bachelor's,m,other,1,23,,1,1,0,47,FT
13367,Sales & Marketing,region_14,Bachelor's,m,other,1,38,5,3,0,0,51,FT
38556,HR,region_22,Master's & above,m,sourcing,1,32,3,5,0,0,52,FT
51344,Operations,region_26,Bachelor's,m,other,1,33,3,5,1,0,58,FT
28320,Procurement,region_2,Bachelor's,f,other,1,39,4,9,0,0,70,FT
56104,Procurement,region_4,Master's & above,m,other,4,36,3,6,0,0,71,FT
68882,Operations,region_22,Bachelor's,m,sourcing,2,33,4,4,0,0,59,FT
75800,Sales & Marketing,region_2,Bachelor's,f,other,1,29,4,6,1,0,45,FT
13223,R&D,region_7,Bachelor's,f,other,1,32,3,5,0,0,85,FT
62740,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,26,3,2,1,0,46,FT
67233,Analytics,region_32,Bachelor's,m,sourcing,1,38,3,3,0,0,82,FT
49207,Procurement,region_22,Master's & above,m,sourcing,1,42,2,15,0,0,70,FT
19053,Operations,region_32,Bachelor's,f,sourcing,1,30,5,6,0,0,60,FT
38096,Analytics,region_22,Bachelor's,m,sourcing,2,28,,1,0,0,83,FT
46519,Sales & Marketing,region_14,Bachelor's,m,other,1,36,4,6,0,0,47,FT
2111,Procurement,region_2,Bachelor's,f,other,1,56,5,6,0,0,84,FT
69413,Sales & Marketing,region_14,Bachelor's,f,other,1,30,3,5,0,0,51,FT
53827,Sales & Marketing,region_15,Bachelor's,m,other,2,25,,1,0,0,50,FT
40064,HR,region_7,Bachelor's,f,other,1,29,5,6,1,0,49,FT
33502,Sales & Marketing,region_7,Bachelor's,m,other,1,36,2,7,0,0,47,FT
15182,Technology,region_14,Bachelor's,f,other,1,39,3,4,0,0,80,FT
13593,Analytics,region_26,Bachelor's,m,sourcing,1,30,5,4,1,0,84,FT
15613,R&D,region_2,Bachelor's,m,other,2,42,3,9,0,0,84,FT
75751,Sales & Marketing,region_26,Bachelor's,m,sourcing,2,37,4,9,0,0,49,FT
71625,Procurement,region_22,Bachelor's,m,sourcing,1,31,2,2,1,0,66,FT
37763,Sales & Marketing,region_28,Master's & above,m,sourcing,1,32,4,6,1,0,48,FT
10812,Operations,region_15,Master's & above,m,other,1,40,5,11,1,0,59,FT
67357,Finance,region_2,Bachelor's,m,sourcing,2,39,5,10,1,0,58,FT
49583,Sales & Marketing,region_26,Bachelor's,m,other,1,40,4,10,1,0,47,FT
45428,HR,region_22,Bachelor's,m,sourcing,1,23,1,2,0,0,45,FT
9978,Operations,region_2,Bachelor's,m,sourcing,2,28,,1,0,0,60,FT
44266,Sales & Marketing,region_7,Bachelor's,m,other,1,37,2,4,0,0,51,PT
47252,Finance,region_2,Below Secondary,m,sourcing,1,23,,1,1,0,58,PT
57884,Operations,region_2,Bachelor's,m,sourcing,1,37,3,9,0,0,61,PT
24334,Legal,region_22,Bachelor's,m,referred,1,29,5,3,1,0,54,PT
58892,Operations,region_32,Bachelor's,f,other,1,38,4,10,0,0,55,PT
40799,Operations,region_22,Bachelor's,m,other,2,39,4,10,0,0,57,PT
33879,Sales & Marketing,region_22,Master's & above,m,other,2,38,5,7,1,0,48,PT
24403,Procurement,region_13,Bachelor's,m,sourcing,1,34,3,4,0,0,69,PT
51150,Procurement,region_15,Bachelor's,f,other,1,48,5,21,0,0,69,PT
7722,R&D,region_26,Master's & above,m,other,1,29,5,4,0,0,82,PT
71271,Technology,region_13,Master's & above,f,other,1,37,4,7,1,0,81,PT
56772,Sales & Marketing,region_22,,m,other,2,23,,1,1,0,53,PT
65909,Operations,region_2,Bachelor's,f,other,1,47,5,2,1,0,63,PT
8228,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,31,1,3,0,0,50,PT
52138,Analytics,region_16,Bachelor's,m,other,1,28,3,4,0,0,83,PT
22999,Finance,region_28,Master's & above,f,other,2,32,4,6,1,0,57,PT
29196,Procurement,region_27,Bachelor's,f,other,1,33,2,4,1,0,71,PT
10663,Legal,region_6,Bachelor's,m,sourcing,2,28,,1,1,0,58,PT
65651,Legal,region_2,Bachelor's,m,other,1,32,,1,1,0,62,PT
17973,Operations,region_6,Bachelor's,m,sourcing,1,34,3,10,0,0,67,PT
10986,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,38,5,3,1,0,52,PT
19355,Technology,region_33,Bachelor's,m,other,1,28,4,5,0,0,79,PT
75402,Analytics,region_24,Master's & above,m,other,1,34,3,3,0,0,87,PT
52587,Procurement,region_2,Bachelor's,m,other,1,44,2,16,0,0,70,PT
41662,Procurement,region_20,Bachelor's,m,sourcing,1,28,3,4,0,0,69,PT
73944,Operations,region_27,Bachelor's,f,other,1,31,1,5,1,0,61,PT
3987,Analytics,region_29,Bachelor's,m,other,1,34,2,5,0,0,84,PT
40057,Procurement,region_2,Below Secondary,m,other,1,22,3,2,1,0,71,PT
76195,Procurement,region_2,Bachelor's,m,other,1,20,,1,0,0,76,PT
12411,Procurement,region_11,Bachelor's,f,other,1,32,3,7,1,0,66,PT
15161,Technology,region_2,Master's & above,f,other,1,43,3,6,1,0,80,PT
59084,Analytics,region_2,Master's & above,f,other,1,42,5,13,1,0,85,PT
53857,HR,region_7,Bachelor's,m,other,1,41,3,8,1,0,54,PT
42772,Technology,region_11,Bachelor's,f,other,1,27,3,2,0,0,84,PT
5294,Finance,region_2,Bachelor's,m,sourcing,1,41,4,9,0,0,56,PT
56439,Technology,region_23,Bachelor's,m,other,1,26,5,2,1,0,76,PT
29998,Analytics,region_34,Bachelor's,m,other,1,35,5,10,1,0,85,PT
76599,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,28,1,3,0,0,58,PT
27424,HR,region_2,Bachelor's,f,sourcing,1,50,1,9,0,0,46,PT
45605,Sales & Marketing,region_22,Master's & above,m,other,1,29,,1,1,1,46,PT
75833,Sales & Marketing,region_7,Master's & above,m,other,2,37,1,10,0,0,49,PT
57068,Operations,region_4,Bachelor's,m,other,2,35,3,8,1,0,64,PT
70129,Sales & Marketing,region_28,Master's & above,f,other,1,29,4,4,0,0,51,PT
14733,Sales & Marketing,region_6,Bachelor's,f,sourcing,1,36,5,8,0,0,47,PT
71886,Technology,region_5,Below Secondary,m,other,1,22,,1,1,0,79,PT
7561,Finance,region_2,Bachelor's,m,other,1,36,3,3,0,0,55,FT
59522,Operations,region_22,Bachelor's,f,other,2,37,4,2,0,0,71,FT
44299,Analytics,region_29,Bachelor's,m,other,1,30,3,4,0,0,83,FT
29220,Finance,region_2,Bachelor's,m,sourcing,2,26,2,2,0,0,54,FT
15869,Procurement,region_13,Bachelor's,f,sourcing,2,28,5,3,1,0,68,FT
51270,Operations,region_15,Bachelor's,m,other,1,49,4,9,0,0,61,FT
14778,Analytics,region_22,,m,other,1,29,5,2,1,0,84,FT
19212,Procurement,region_21,Master's & above,m,other,1,35,5,7,1,0,70,FT
70890,Technology,region_24,Bachelor's,m,other,1,32,2,6,0,0,90,FT
31183,Sales & Marketing,region_28,Master's & above,f,sourcing,1,42,3,4,0,0,54,FT
46628,Technology,region_4,Master's & above,m,other,1,37,4,5,0,0,76,FT
44670,Sales & Marketing,region_29,Bachelor's,m,other,1,28,5,2,0,0,45,FT
70734,Procurement,region_15,Bachelor's,m,other,1,38,4,2,1,1,97,FT
47051,Analytics,region_2,Bachelor's,m,sourcing,2,39,4,5,1,0,86,FT
17760,Analytics,region_27,Bachelor's,m,other,1,28,5,2,1,0,87,FT
8180,Operations,region_14,Bachelor's,m,other,2,34,3,10,0,0,60,FT
24756,Operations,region_22,Bachelor's,f,other,1,37,3,3,0,0,63,FT
56780,Sales & Marketing,region_2,Master's & above,f,sourcing,2,38,1,6,0,0,51,FT
59919,Finance,region_2,Bachelor's,f,sourcing,1,24,5,2,1,0,57,FT
18924,Sales & Marketing,region_11,Master's & above,m,other,1,36,3,7,0,0,52,FT
42477,Procurement,region_2,Bachelor's,m,other,1,41,2,15,0,0,70,FT
50900,Operations,region_22,Bachelor's,m,other,2,29,,1,0,0,60,FT
11824,Technology,region_2,Master's & above,f,sourcing,2,59,1,15,0,0,76,FT
51740,Sales & Marketing,region_12,Bachelor's,f,sourcing,1,29,3,1,0,0,48,FT
51364,Operations,region_22,Bachelor's,f,other,1,29,5,3,0,0,57,FT
64265,Sales & Marketing,region_13,Bachelor's,f,sourcing,3,31,1,5,0,0,51,FT
46233,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,31,5,7,0,0,51,FT
41215,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,4,3,0,0,50,FT
47172,Sales & Marketing,region_26,Bachelor's,m,other,1,32,3,4,1,0,47,FT
53542,Procurement,region_26,Bachelor's,f,other,1,49,4,8,0,0,68,FT
2121,Operations,region_2,Master's & above,m,other,1,42,5,11,0,0,59,FT
77677,Sales & Marketing,region_11,Bachelor's,m,other,1,32,5,7,1,0,49,FT
38018,Analytics,region_11,Bachelor's,m,other,1,30,3,4,0,0,80,FT
29799,Analytics,region_4,Bachelor's,m,other,1,32,5,8,0,0,86,FT
565,Procurement,region_1,Bachelor's,f,sourcing,2,29,1,2,0,0,74,FT
33473,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,31,1,6,0,0,50,FT
14628,Sales & Marketing,region_20,Bachelor's,m,other,2,27,,1,1,1,48,FT
46339,Operations,region_34,Bachelor's,m,other,1,30,3,2,1,0,58,FT
6352,Operations,region_2,Bachelor's,f,sourcing,1,48,4,8,1,0,60,FT
63568,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,39,5,12,0,0,50,FT
15317,Analytics,region_23,Master's & above,m,sourcing,1,35,2,7,1,0,87,FT
63035,Technology,region_2,Bachelor's,f,other,1,47,4,7,0,0,78,FT
22942,Sales & Marketing,region_31,Master's & above,m,other,1,46,5,3,1,0,51,FT
62212,Procurement,region_31,Master's & above,f,other,1,37,3,2,1,1,97,FT
49252,Operations,region_19,Bachelor's,m,other,1,26,5,6,1,0,60,FT
38520,Technology,region_6,Bachelor's,f,sourcing,1,31,5,4,1,0,87,FT
65459,Operations,region_27,,m,other,1,26,,1,1,0,56,FT
69109,Procurement,region_20,Bachelor's,f,other,1,28,2,4,0,0,69,FT
67985,Operations,region_4,Master's & above,f,sourcing,2,36,1,6,1,1,65,FT
74040,Technology,region_24,Master's & above,f,other,1,35,1,7,0,0,80,FT
31049,Analytics,region_13,Bachelor's,m,sourcing,1,34,4,9,0,0,84,FT
55523,Analytics,region_2,Master's & above,m,sourcing,2,58,5,6,1,0,81,FT
40579,Sales & Marketing,region_22,Master's & above,m,sourcing,1,29,2,5,1,0,50,FT
40211,Operations,region_13,Bachelor's,m,other,1,36,2,9,0,0,59,FT
41982,R&D,region_2,Bachelor's,m,sourcing,1,30,1,4,0,0,84,FT
24286,HR,region_2,Master's & above,f,other,1,40,3,10,0,0,49,FT
53696,Procurement,region_15,Bachelor's,m,other,1,38,3,4,1,0,71,FT
47130,Sales & Marketing,region_11,Bachelor's,m,other,1,36,2,5,0,0,52,FT
25340,Sales & Marketing,region_2,Bachelor's,m,other,1,41,4,9,0,0,49,FT
16794,Procurement,region_22,Master's & above,m,other,1,33,5,5,1,0,66,FT
10399,Technology,region_31,Bachelor's,m,sourcing,1,29,1,4,0,0,79,FT
9095,Operations,region_22,Master's & above,f,other,1,33,4,8,1,0,81,FT
60624,Sales & Marketing,region_7,Master's & above,f,other,1,41,1,2,0,0,47,FT
30188,Procurement,region_2,Master's & above,m,other,2,41,3,10,0,0,67,FT
19292,Operations,region_13,Master's & above,m,other,1,41,3,4,0,0,60,FT
58780,Technology,region_7,Bachelor's,f,other,1,28,4,5,1,0,76,FT
33674,Sales & Marketing,region_7,Master's & above,f,sourcing,1,32,5,7,1,0,53,FT
17128,Technology,region_8,Bachelor's,m,other,1,25,3,3,0,0,77,FT
28127,Technology,region_13,Below Secondary,f,sourcing,1,24,2,2,0,0,85,FT
42650,Sales & Marketing,region_7,Bachelor's,m,other,1,53,4,10,1,0,45,FT
58393,Sales & Marketing,region_25,Master's & above,m,sourcing,1,38,5,12,1,0,49,FT
72037,Legal,region_22,Bachelor's,m,sourcing,1,31,3,3,0,0,62,FT
33736,Sales & Marketing,region_2,Bachelor's,f,other,2,51,3,17,0,0,52,FT
51260,Operations,region_14,Master's & above,m,sourcing,1,42,3,4,0,0,59,FT
21326,Operations,region_2,Master's & above,m,other,1,56,5,16,1,0,59,FT
7784,Sales & Marketing,region_4,Bachelor's,m,other,1,48,4,9,0,0,46,FT
33540,Procurement,region_2,Master's & above,m,sourcing,1,56,3,2,1,0,65,FT
14669,Technology,region_26,Bachelor's,m,referred,1,27,,1,0,0,79,FT
53267,R&D,region_26,Bachelor's,m,other,1,31,4,6,0,0,84,FT
51294,Procurement,region_22,Master's & above,m,sourcing,2,33,3,3,0,0,72,FT
4208,Technology,region_7,Master's & above,m,referred,1,36,4,4,1,0,80,PT
64266,Procurement,region_11,Master's & above,f,other,1,38,5,4,1,0,70,PT
57995,Procurement,region_5,Bachelor's,m,other,1,36,2,4,0,0,64,PT
76317,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,50,4,21,1,0,49,PT
32169,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,40,1,3,0,0,47,PT
